sentence,fuel,machine,others,part,price,service
Varian Rush G AT warsa 2018 puniki hemat bahan bakar.,positive,neutral,neutral,neutral,neutral,neutral
"Tiang bingung yen tiang ka bengkel, takut tiang lakar jelek, yen service di Honda maal",neutral,neutral,neutral,neutral,neutral,negative
"Brio madue fitur keamanan sane tegeh sane nenten wenten ring 86, inggih punika pembatas kecepatan 145 km/jam .",neutral,neutral,neutral,positive,neutral,neutral
Teknisi Honda sampun sue makarya!! Kenken carane suba 20 antrian motor tiange tusing kena? Saking jam 10 wah! Yakti pisan layanan Yamaha punika becik pisan!,neutral,neutral,neutral,neutral,neutral,positive
"Daya ok, nanging desain Pajero mirib sissy... tusing se-dashing model Pajero",neutral,positive,neutral,negative,neutral,neutral
"Pivot Fortuner rauh gelis pisan, wawu 1 bulan",neutral,neutral,neutral,neutral,neutral,positive
"Bebek & Xenia punika makakalih bos sane ekonomis, sane utama inggih punika Xenia",positive,neutral,neutral,neutral,neutral,neutral
"Tiang ngelah suntikan beat, hemat, ampurayang tiang anggon cepet, tusing apa-apa, nanging kadang stirne goyang-goyang buka ban ane gepeng.",positive,neutral,neutral,negative,neutral,neutral
Tiang setuju yening Vario punika joh lebih becik tekening Mio .,neutral,neutral,negative,neutral,neutral,neutral
Tiang tuah nganggon NMAX makudang-kudang sasih lan tiang suba bosan.,neutral,neutral,negative,neutral,neutral,neutral
"Mobil tiange Xenia 1,3 cc, tiang puas pisan nganggen.",neutral,neutral,positive,neutral,neutral,neutral
Vario dasarnyane becikan ring Mio ring sakancan parindikan .,neutral,neutral,negative,neutral,neutral,neutral
Xenia kabaosang lebih hemat lan sampunang lali yening pajak mobil taler katentuang olih kendaraan CC .,positive,neutral,neutral,neutral,neutral,neutral
"Asik nyetir Wiakti, Honda Brio punika kari lebih asik tekening Sirion.",neutral,neutral,negative,neutral,neutral,neutral
Tiang sujatine masih dot ngelah mobil rush ane desainne sportif .,neutral,neutral,neutral,positive,neutral,neutral
"Bengkel Honda 0001, nenten kaaptiang!! Jelé",neutral,neutral,neutral,neutral,neutral,negative
Kijang Innova punika juara mobil mewah nanging hargane nenten maal .,neutral,neutral,positive,neutral,positive,neutral
"Honda Vario 125 2018 puniki nyaman pisan kaanggen, punika taler becik anggen ngelintangin, mesinnyane mulus yening saihang sareng Vario sane lawas",neutral,positive,positive,neutral,neutral,neutral
"Ia hemat bahan bakar, mesine suba bandel. pamargine sayan lancar. Pangargan jualnyane durung tedun, yening saihang sareng merek sane tiosan.",positive,positive,neutral,neutral,positive,neutral
"Rasa nyingakin Veloz puniki ring margi yadiastun wawu, nanging nyingakin wantah biasa kemanten, nenten seru",neutral,neutral,negative,neutral,neutral,neutral
"Tiang sampun nganggen Grand Livina ngawit warsa 2008, tiang sampun meh 400 ribu km. Ia masih tuah nyaman, tur hemat.",positive,neutral,positive,neutral,neutral,neutral
"Niki mobil sane hebat, masih mampu nguber Innova. Wantah awakne dogen, tusing ja kaku pesan. Yen ngambil, malaib di jalan tol.",neutral,neutral,positive,negative,neutral,neutral
Masih kalah parah teken Pajero Sport .,neutral,neutral,positive,neutral,neutral,neutral
Harga sane rendah punika silih sinunggil kaluwihan Toyota Calya .,neutral,neutral,neutral,neutral,positive,neutral
Rush punika SUV ukuran menengah sane pinih menarik .,neutral,neutral,positive,neutral,neutral,neutral
"2009 Isuzu Panther sane ageng ring tur. Mobil tangguh antuk mesin solar sane ekonomis lan bandel, hargane tuah 167 juta, bos.",positive,positive,neutral,neutral,positive,neutral
Silih sinunggil sane minab karasayang kirang saking Xenia inggih punika ring beban penuh kapasitas daya mobil karasayang kirang saking optimal .,neutral,negative,neutral,neutral,neutral,neutral
scoopy nenten cocok antuk sisia,neutral,neutral,negative,neutral,neutral,neutral
Ulasan sane becik... sujatine nenten wenten sangsaya indik pikobet penanganan... punika ngawinang Brio seneng nyetir,neutral,neutral,positive,positive,neutral,neutral
"Toyota Avanza punika mobil sane murah, tetep nenten murah.",neutral,neutral,neutral,neutral,positive,neutral
Mobil sane durung naenin tiang cingakin ring jalan... Mobilio lan BRV... desainne kacau.. jelek pol,neutral,neutral,neutral,negative,neutral,neutral
Avanza puniki lebih praktis kaanggen ring makudang-kudang rute antuk kondisi jalan sane cupit.,neutral,neutral,positive,neutral,neutral,neutral
"Yening semeton milih Fortuner, pastika semeton nenten pacang nyesel Fortuner punika canggih.",neutral,neutral,positive,neutral,neutral,neutral
Sane nenten senengin titiang ring Terios inggih punika batisnyane nenten kuat tur ribut pisan .,neutral,neutral,neutral,negative,neutral,neutral
"Madue motor Yamaha tusing taen sakit sirah, sawireh perawatanne sederhana tur murah, tur tusing perlu galah. @YamahaIndonesia #Yamaha sane kaping 40",neutral,neutral,neutral,neutral,neutral,positive
Nanging bengkel Honda sane nampek ring ring road punika jelek :|,neutral,neutral,neutral,neutral,neutral,negative
"cukup mengesankan, saking segi harga, peralatan lan pastika mesin sane nganggen 4 silinder, tiang percaya pacang laris becik.",neutral,neutral,neutral,neutral,positive,neutral
Sejangkepnyane banget kecewa sareng Honda HRV .,neutral,neutral,negative,neutral,neutral,neutral
Toyota Rush puniki becik kaanggen sarahina ring kota lan santai kaanggen budal.,neutral,neutral,positive,neutral,neutral,neutral
"Kebetulan tiang masih suba nganggon Livina uli warsa 2010. Keluhanne patuh, mesine gelitik yadiastun suba makudang-kudang kali kabalikang.",neutral,negative,neutral,neutral,neutral,neutral
Jazz punika lebih bandel tekening Brio .,neutral,negative,neutral,neutral,neutral,neutral
"Sampunang ja jagi servis ring bengkel Toyota, mael pisan, layanannyane nenten memuaskan.",neutral,neutral,neutral,neutral,neutral,negative
"Sampunang beli Brio, kenyamananne sujatine jele, becikan yening Calya setata becik anggen kija-kija.",neutral,neutral,positive,neutral,neutral,neutral
"Sampunang numbas mobil @DaihatsuInd, napi malih mobil Xenia, santukan mesine dangan meledak.",neutral,negative,neutral,neutral,neutral,neutral
"Ring sajeroning keamanan lan keamanan, Grand New Avanza madue makudang-kudang fitur sane ngadukung keamanan lan keamanan.",neutral,neutral,neutral,positive,neutral,neutral
Liburan ke Bali tiang sareng pat sareng wuling confero s lux+. Bahan bakar sane pinih ekonomis,positive,neutral,neutral,neutral,neutral,neutral
Mobil Terios puniki cocok antuk samian medan .,neutral,neutral,positive,neutral,neutral,neutral
"Vario punika madue ban tubeless lan ekonomi bahan bakar ditambah bagasi sane jimbar, ngawinang manah semetone bagia lan semangat semetone bagia.",positive,neutral,neutral,positive,neutral,neutral
"Honda Mobilio tipe e CVT gengsi konsumsi bahan bakar sane cukup hemat, inggih punika 14,2 km/liter antuk kecepatan 40 - 60 km/jam.",positive,neutral,neutral,neutral,neutral,neutral
"Tuah mobilne hemat bahan bakar, tiang ngisiang bensin tur nyidaang nyetir ngelintangin kota-kota mawinan tiang tusing sesai mararian di pom bensin.",positive,neutral,neutral,neutral,neutral,neutral
SUZUKI 3 puniki wantah mobil sane murah nanging nenten murah yening kacingak saking interiornyane sane padat.,neutral,neutral,neutral,positive,positive,neutral
"Toyota maju, sampunang kadi asapunika tur hargane maal nanging napi sane kapolihang akidik pisan",neutral,neutral,negative,neutral,negative,neutral
"Yening wenten pikobet sane serius ring bengkel mobil Honda ring Autoland lan kacingak pacang gratis, pastika ipun pacang nolak layanan.",neutral,neutral,neutral,neutral,neutral,negative
Fortuner inggih punika mobil sane hemat bahan bakar lan nyaman sane wantah nganggen biodiesel Mobil punika mamargi sempurna lan sampun mabukti ping kalih kadagingin solar lan yadiastun asapunika kantun prasida kaanggen ring sawewengkon kota Surabaya.,positive,neutral,positive,neutral,neutral,neutral
"Sane utama wantah Yamaha punika keren pisan, ring arep kari sane pinih becik, motornyane nyaman kaanggen, mesinnyane mulus, napike punika lanang utawi istri, cocok nganggen Yamaha",neutral,positive,positive,neutral,neutral,neutral
Tiang ngantosang tiban-tibanan. Malih pidan daihatsu sukabumi pacang madue bengkel sane patut sakadi toyota lan honda? napi sane wenten mangkin jelek pisan,neutral,neutral,neutral,neutral,neutral,negative
"Avanza taler mamargi cukup gelis, ring jalan raya prasida ngantos 140 km/jam.",neutral,positive,neutral,neutral,neutral,neutral
"Antuk bensin Fortuner, tusing perlu takonin, tiang ngisiang bensinne di dina Minggu, tur bisa anggon duang minggu ane lakar teka. ekonomis pisan, napi ten?",neutral,positive,neutral,neutral,neutral,neutral
Sane pinih becik antuk rute semi off road lan pendakian Terios,neutral,positive,neutral,neutral,neutral,neutral
"antuk desain aerodinamis, sane ngawinang mobil Grand New Veloz puniki dangan pisan kakendaliang,",neutral,neutral,neutral,positive,neutral,neutral
Mobilio sampun becik purna jual taler sampun oke .,neutral,neutral,positive,neutral,positive,neutral
HRV pisagan tiange ngelah guncangan depan ane keras.,neutral,neutral,neutral,negative,neutral,neutral
"Manut titiang, antuk ajin mobil kelasnyane, ngantos mangkin IGNIS puniki minab sane pinih maaji.",neutral,neutral,neutral,neutral,positive,neutral
Vario joh lebih lincah tekening Mio .,neutral,negative,neutral,neutral,neutral,neutral
Varian Rush G AT tiange 2018 puniki madue suara mesin sane kasar.,neutral,negative,neutral,neutral,neutral,neutral
"Avanza ento tuah nganggon bensin sawatara 40 liter anggon 700 km, bro. Indike puniki wiakti serius.",positive,neutral,neutral,neutral,neutral,neutral
"Artosnyane Karimun Wagon R punika dados acuan, Kebetulan tiang ngrereh LCGC sane harga pasarnyane murah.",neutral,neutral,neutral,neutral,positive,neutral
"Wantah awas, Mobilios aftermarket seneng ulung",neutral,neutral,neutral,neutral,negative,neutral
"Akeh pisan sane menarik indik mobil Toyota Calya puniki, hargane murah",neutral,neutral,neutral,neutral,negative,neutral
Atlet Kawasaki punika rumasa klasik nanging kirang semangat. sakadi atenga miwah atenga,neutral,neutral,negative,neutral,neutral,neutral
"Kesimpulannyane, ritatkala nganggen Fortuner VRZ, kenyamanan punika wiakti kabuatang, interior sane becik pastika ngawinang ragane merasa sekadi ring jero ring mobil .",neutral,neutral,positive,positive,neutral,neutral
Mobil Avanza puniki lebih boros tekening mobil BMW .,positive,neutral,neutral,neutral,neutral,neutral
"Lempas saking elegan, sepeda motor puniki taler keren antuk anak truna lan bahkan anak tua Lempas saking punika, perawatannyane taler dangan pisan lan suku cadangnyane taler murah, sane ngawinang titiang ngagumin produk Honda Lempas saking punika, punika taler hemat bahan bakar antuk mesin injeksi, ngawinang mesinnyane sayan awet lan toven punika yadiastun.",positive,positive,neutral,positive,neutral,positive
"Ayah-ayahan Astra Daihatsu ring Jalan Sisingamangaraja becik pisan. Jasa mobil ganti oli, polih cuci gratis!",neutral,neutral,neutral,neutral,neutral,positive
"Kebodohan Nissan ring GL punika mesine nenten kalengkapin antuk Knock Sensor (wantah asiki piranti, punika sujatine pelit).",neutral,negative,neutral,neutral,neutral,neutral
"Harga sane rendah, kualitas terjamin, Ertiga punika sujatine mobil sane becik pisan",neutral,neutral,positive,neutral,positive,neutral
Avanza asli tiange sampun boros akhir-akhir puniki .,negative,neutral,neutral,neutral,neutral,neutral
"Sesampune nganggen makudang-kudang galah, motor puniki nyaman pisan, alus pisan ring duur margi sane rusak, pateh sakadi piring tanpa wenten guncangan sane signifikan.",neutral,neutral,positive,neutral,neutral,neutral
antuk nganggen Avanza sane super ekonomis. Biaya tiange masih terjangkau.,positive,neutral,neutral,neutral,neutral,neutral
"Yen suba ngaba montor mulih, pasti nyaman, awak tusing lakar sakit.",neutral,neutral,positive,neutral,neutral,neutral
"Kelompok tiange nganggen Xenia 1.0, ternyata daya Xenia 1.0 punika taler oke",neutral,positive,neutral,neutral,neutral,neutral
Sigra punika taler kuat kaanggen ngebut ring margi-margi sane kejam ring Sumatra.,neutral,positive,neutral,neutral,neutral,neutral
"Tiang nganggen Xenia Li VVTi 2007, dadosne eling yening tiang madue mobil 1000 cc sane murah.",neutral,neutral,neutral,neutral,positive,neutral
"Perawatan motor Yamaha Nmax nenten ribet, lan hargane terjangkau.",neutral,neutral,neutral,neutral,positive,positive
Kautamaan mobil Avanza sane anyar puniki inggih punika suku cadangnyane dangan karereh.,neutral,neutral,neutral,positive,neutral,neutral
Xenia Baru sane becik madue harga sane ramah lan interior sane layak antuk jenis sane pinih tegeh .,neutral,neutral,neutral,positive,positive,neutral
"Brio ento sujatine melah, tusing ada bobab!",neutral,neutral,positive,neutral,neutral,neutral
"Sawireh tiang ngelah unit Honda Sonic, idup minab merasa bebas neked dija ja tiang dot.",neutral,neutral,positive,neutral,neutral,neutral
"Nanging indik cokor, tiang agak ribut, napi malih ring margi sane kaon, cokor sujatine akeh ngae ribut.",neutral,neutral,neutral,negative,neutral,neutral
"Tusing nawang ngudiang, tiang lebih nyaman teken Brio generasi pertama... Ane batisne lebih rata, melah rupane lampu belakangne ??bulet lan kaca semi-frameless.",neutral,neutral,positive,positive,neutral,neutral
"Minab tiang sampun 5 warsa nganggen Kijang Innova. Ring kawigunan sedina-dina sane intens, mobil puniki ramah perawatan.",neutral,neutral,neutral,neutral,neutral,positive
Brio setata madue karakter sane sayan kukuh saking deweknyane. Sirion kacingak nenten madue jati diri,neutral,neutral,negative,neutral,neutral,neutral
"Mobil tiange Xenia warsa 2004, tipe Li sane standar. Kaca spionne masih model tipis, kirang elegan.",neutral,neutral,neutral,negative,neutral,neutral
"Fortuner ento sujatine nglebur bensin, tusing cara Altis ane sujatine ekonomis",positive,neutral,neutral,neutral,neutral,neutral
"Becikan mangda wuiling Almaz. Akeh fitur, mesin turbo, awakne gede, hargane menarik.",neutral,positive,neutral,positive,positive,neutral
Xexi puniki sering kaanggen lunga ka Tasikmalaya nglintangin Nagrek tanpa wenten pikobet.,neutral,neutral,positive,neutral,neutral,neutral
Layanan bengkel honda otobest soekarno hatta sane sujatine kaon. tan wenten sane angob yening setata sepi.,neutral,neutral,neutral,neutral,neutral,negative
"Ring sajeroning fitur, sirion sane menang. Nanging ring segi desain, tiang ngaden Brio lebih seksi lan nenten membosankan .",neutral,neutral,neutral,positive,neutral,neutral
"Sejangkepnyane tiang seneng sareng Xenia. Murah, desain lucu, muat akeh barang, dangan kabakta, nenten perlu parkir sane ageng. Dasarne, tusing ada artine.",neutral,neutral,positive,positive,positive,neutral
Toyota Calya irit lenga lan kabinne nyidaang muat akeh panumpang.,positive,neutral,neutral,positive,neutral,neutral
"Nyak menyesel meli Honda Vario, jelek pesan motorné.",neutral,neutral,negative,neutral,neutral,neutral
"Honda Beat Sporty irit lenga lan modelné bagus, sporty, tur pilihan warnané akeh, nanging tiang demen warna Black Hard.",positive,neutral,neutral,positive,neutral,neutral
"Yening Xi plus, kecepatan taler nenten ragu ka uji olih mobil kelas lianan",neutral,positive,neutral,neutral,neutral,neutral
Tiang wantah naenin komplain indik kopling Xenia ne keras miwah motor locking door ne aus.,neutral,neutral,neutral,negative,neutral,neutral
Setata liang setiap nyetir nganggen Aerox,neutral,neutral,positive,neutral,neutral,neutral
"Hahaha, Mas Fitra untung datang ke Honda cabang ento, stafne suba melah, bengkelne bagus teken rapih",neutral,neutral,neutral,neutral,neutral,positive
"Cuma jani ento masih ada pengganjal, yen ngelancarang polisi tidur, Xenia keneh dasborne bunyi, kaya kurang kuat gitu.",neutral,neutral,neutral,negative,neutral,neutral
"Jadi kesimpulan nyak buat Xpander: ""Sing naenin pisan deh!""",neutral,neutral,negative,neutral,neutral,neutral
Terios baru nyak enak dipake teken nyanan!,neutral,neutral,positive,neutral,neutral,neutral
"Kualitas jok duduk Avanza nyanan, karena suba nganggon bahan tempat duduk becik teken bagus!",neutral,neutral,neutral,positive,neutral,neutral
"Tapi nyak bangga ngelah Karimun Wagon R, mobilne bisa diandelang pisan teken irit di pis bol!",neutral,neutral,positive,neutral,positive,neutral
Rush baru kedeng lebih gagah teken keren!,neutral,neutral,positive,neutral,neutral,neutral
Kaki-kaki HRV kerasa berisikan pas ngalancarang polisi tidur. Ento ngasih efek kretek-kretek ke pintu bagasi. Berisikan pisan,neutral,neutral,neutral,negative,neutral,neutral
"Semenjak nyak nganggon Toyota Calya, dompet nyak tusing bocor dogen, alias BBM-ne irit pisan! Sing sering mesu BBM dogen jani",positive,neutral,neutral,neutral,neutral,neutral
"Toyota Innova Diesel nyak enak banget dikendaraang, gampang perawatan-ne, teken irit pisan BBM-ne",positive,neutral,positive,neutral,neutral,positive
"Brio yen diajak lari, lincah pisan! Tarikane keto halus dogen",neutral,positive,neutral,neutral,neutral,neutral
"Mending Calya je! Irit, suspensine nganggon, muat akeh, mesin 4 silinder teken teknologi VVT-i, bisa jae buat taksi online",positive,neutral,neutral,positive,neutral,neutral
"Yen urusan BBM irit, sing adaen je, Avanza pasti!",positive,neutral,neutral,neutral,neutral,neutral
"Bagus pisan je Scoopy, cocok banget buat mulih cening-cening. Mesin-ne keto halus dogen, ban-ne lucu jae",neutral,positive,positive,positive,neutral,neutral
"Ten je keto maan Om Fitra, recall master rem HRV di dealer, antrian-ne mara 3 bulan lebih! Recall tenan je ento.",neutral,neutral,neutral,neutral,neutral,negative
"Nyak lebih milih Innova buat mobil keluarga, meskipun regane luwih mahal",neutral,neutral,positive,neutral,negative,neutral
"Mobil nyak Avanza tipe G 1300cc tahun 2007, suba teken jani mesin-ne tusing rewel dogen, BBM-ne masih irit jae",positive,positive,neutral,neutral,neutral,neutral
Suspensi Xpander lemah teken nyanan pisan,neutral,neutral,neutral,positive,neutral,neutral
"Mending je ento, daripada Honda Jazz, city car overprice teken pelit fitur",neutral,neutral,neutral,negative,negative,neutral
"Desain dasbor HRV kece pisan, keto-keto kabeh diarahang ke pengemudi",neutral,neutral,neutral,positive,neutral,neutral
"Nyak nganggon Avanza tahun 2009 transmisi manual. Kualitas mesin-ne top pisan! Walaupun perawatan-ne minimal, tapi hasil-ne maksimal jae",neutral,positive,neutral,neutral,neutral,neutral
"Nyak sih mending X-I, irit jae, beda tipis! Apalagi macet di kota gede, tusing ngaruh. X-I buat luar kota enak, tanjakan gen oke pisan",positive,neutral,positive,neutral,neutral,neutral
Akhire bisa mebli mobil jae! Pilihan nyak ngelempas ke Daihatsu Xenia Sporty. Mobilne nyanan pisan! Interior-ne keto bagus teken elegan. Lari-ne stabil teken mantap pisan,neutral,positive,positive,positive,neutral,neutral
"Xenia Li duwen nyak, konsumsi BBM-ne irit pisan jae",positive,neutral,neutral,neutral,neutral,neutral
"Avanza gayane jadul je, tusing cocok buat mahasiswa!",neutral,neutral,neutral,negative,neutral,neutral
"Brio bagus pisan je, tusing kaya mobil lingsir nyak, si Calya, jelek",neutral,neutral,negative,neutral,neutral,neutral
Tusing ada bisa ngalihin ketangguhan mesin-ne Avanza je,neutral,positive,neutral,neutral,neutral,neutral
Cahaya rikala kasokong. Nenten abot. Suku cadangnyane dangan pisan karereh. Akeh konter Honda sane nampek ring umah. Dadosne nenten perlu doh-doh jagi ngerereh pusat layanan.,neutral,neutral,positive,positive,neutral,positive
"Yamaha Aerox R narik becik, mesin sane becik, awak sane sportif",neutral,positive,neutral,positive,neutral,neutral
"Ring warsa 2017 tiang numbas Beat, status tiange murid mawinan tiang nganggen sabilang wai lakar masekolah Jujur, daya tarikne nyaman lan lincah, nanging sayangne ??ground clearancene tusing cukup tegeh.",neutral,positive,neutral,negative,neutral,neutral
"Sawireh ada alasan, cat Xenia ento dangan pesan kena goresan.",neutral,neutral,neutral,negative,neutral,neutral
AC sane wenten ring Xenia dlx sane mawarna biru taler dingin. Becik pisan punika.,neutral,neutral,neutral,positive,neutral,neutral
"Pangargan sane dangan kaambil olih sapa sira ugi, model lan teknologi sane modern, perawatan sane dangan lan pastika hemat bahan bakar lan layanan purna jual sane becik, makasami punika madue kualitas sane becik. Honda Beat punika wiakti keren pisan.",positive,neutral,positive,positive,positive,positive
Desain interior lan awak Fortuner sane becik,neutral,neutral,neutral,positive,neutral,neutral
"Yening selehin ring spesifikasinyane, harga Ertiga punika cukup overpriced .",neutral,neutral,neutral,neutral,negative,neutral
"Dealer lan bengkel HRV ditu ngicenin layanan sane becik pisan plus murah, bro.",neutral,neutral,neutral,neutral,neutral,positive
Mobil keluarga Toyota Calya LCGC Harga sane murah nanging nenten murah.,neutral,neutral,neutral,neutral,positive,neutral
"Yadiastun secara keseluruhan tusing apa-apa, yen boros bensin, tiang males meli",negative,neutral,positive,neutral,neutral,neutral
"Tiang sampun nganggen Toyota Calya puniki ka genah-genah sane ekstrim sampun langkungan ring awarsa, nanging ngantos mangkin tiang durung naenin manggihin pikobet sareng mobil puniki.",neutral,neutral,positive,neutral,neutral,neutral
"Tiang percaya, kantos mangkin harga jual Toyota puniki mael yening saihang sareng merek sane lianan.",neutral,neutral,neutral,neutral,positive,neutral
"Yen suba ngelah Toyota, tuah patut sabar yen layananne tusing melah.",neutral,neutral,neutral,neutral,neutral,negative
"Honda Vario puniki pastika hemat bahan bakar, yadiastun punika motor otomatis, kecepatannyane kantun tangguh yening saihang sareng motor sane cc lan transmisi manualnyane pateh.",positive,positive,neutral,neutral,neutral,neutral
Wuling Confero inggih punika mobil sane cocok pisan kaanggen ring perjalanan jarak jauh .,neutral,neutral,positive,neutral,neutral,neutral
Wiakti seneng sareng Terios sane anyar .,neutral,neutral,positive,neutral,neutral,neutral
"Tiang masih nganggen Honda. Silih sinunggil sane pinih senengin titiang ring merek puniki inggih punika praktisnyane,",neutral,neutral,positive,neutral,neutral,neutral
Niki pertama tiang nyobak nunggang Honda Beat Sporty tiang seneng teken daya tarik lan entengne yen menek.,neutral,positive,neutral,neutral,neutral,neutral
"calya nenten kakaryanin mangda kaanggen ring medan sane meweh, punika lemet!",neutral,neutral,neutral,negative,neutral,neutral
"Yening jagi mabisnis, nganggen Li kemanten, pastika pacang nyaman.",neutral,neutral,positive,neutral,neutral,neutral
"Altis sane warsa 2010 puniki kari becik, napi malih sane warsa 2014",neutral,neutral,positive,neutral,neutral,neutral
"Honda Vario punika karasayang lincah pisan tur tangguh, ngajak tiang kija-kija, nglintangin sabilang lengkungan lan bucu Yogyakarta lan sawatarane tanpa sangsaya napi-napi sane terjadi.",neutral,positive,neutral,neutral,neutral,neutral
Honda HRV ring sornyane karasayang rapuh. Pegas sane ring ungkur dangan antuk ngetok.,neutral,neutral,neutral,negative,neutral,neutral
"Sujatine, alasan tiang milih Honda ento krana mesine lebih nyaman anggon nyetir sedina-dina. Lebih ring selera tiang. Dadosne perubahan sane alit utawi perubahan sane ageng, punika wantah masalah selera kemanten.",neutral,positive,neutral,neutral,neutral,neutral
"Awalne tiang agak ragu lakar meli Wuling Confero L, nanging aji harga ane ramah buka keto, ento maksa tiang milih kendaraan ene.",neutral,neutral,neutral,neutral,positive,neutral
"Yening tiang kari milih Avanza, punika santukan keandalan mesinnyane sampun mabukti.",neutral,negative,neutral,neutral,neutral,neutral
"Xenia Xi punika sportif, yening ngidupang AC, suara mesine sujatine ribut",neutral,negative,neutral,neutral,neutral,neutral
Avanza ne kenyamanan ne paling juara,neutral,neutral,positive,neutral,neutral,neutral
"madue HRV E 2018, dayane taler cukup becik",neutral,positive,neutral,neutral,neutral,neutral
Karimun Wagon R manut ring kebutuhan lan anggaran semetone mangda semeton tetep prasida nikmatin lan nenten ngganggu kebutuhan sane lianan.,neutral,neutral,neutral,neutral,positive,neutral
"Avanza puniki madue awak sane becikan, hemat bahan bakar, suku cadang sane akeh lan murah, ukuran sane luas, dangan kaadol, harga jual sane tegeh, dangan kabakta budal, perawatan sane murah. Lebih elegan.",positive,neutral,positive,positive,positive,positive
Honda Brio lebih layak yening semeton meled mobil sane asik nyetir .,neutral,neutral,positive,neutral,neutral,neutral
"Avanza punika santukan bobotnyane enteng, bos.",neutral,neutral,neutral,positive,neutral,neutral
"Yamaha 125 ZR nenten ja nenten kaadol, hargane karasayang sekadi ring udara",neutral,neutral,neutral,neutral,negative,neutral
Tegesnyane mesin Xenia puniki sampun mabukti becik lan awet + irit bahan bakar .,positive,positive,neutral,neutral,neutral,neutral
"Manut tiang, Veloz ento tusing ja jegeg keto, Pak. Nenten ja nyaman sakadi pesaingnyane.",neutral,neutral,negative,neutral,neutral,neutral
"Tiang ngelah 50 mobil Xenia sewaan, makejang suba 3 tiban, tur tusing ada ane suba kena ledakan mesine.",neutral,positive,neutral,neutral,neutral,neutral
"Inggih, punika Xpander, fasilitas layanannyane taler becik pisan.",neutral,neutral,neutral,neutral,neutral,positive
Silih sinunggil sane senengin tiang ring Yamaha inggih punika layanan purna jualnyane.,neutral,neutral,neutral,neutral,neutral,positive
Makasami produk Nissan punika kaadol becik ring pasar.,neutral,neutral,positive,neutral,neutral,neutral
"Sampun 2 warsa nenten wenten pikobet, Sigra punika wiakti ageng.",neutral,neutral,positive,neutral,neutral,neutral
"Ternyata layanan saking bengkel Yamaha asli sujatine jelek, tiang mecikang starter tanganne aji bolak-balik tuah anggon ngicenin pipis ka bengkel nanging starter tiange masih tusing nyidaang anggon.",neutral,neutral,neutral,neutral,neutral,negative
"Aduh, tiang nyesel ngambil Alya .",neutral,neutral,negative,neutral,neutral,neutral
"Dugas tiang ka ditu di dina minggu, tuah ada makudang-kudang buruh Layanan apa ene uli Daihatsu teken pelangganne?",neutral,neutral,neutral,neutral,neutral,negative
"Mesin Avanzane masih sakti, bos.",neutral,positive,neutral,neutral,neutral,neutral
"Altis G 2003 MT, mesine karasayang kuat pisan yadiastun ring 2.500 rpm, sampun mantap.",neutral,positive,neutral,neutral,neutral,neutral
Tiang bangga pisan madue mobil Xenia puniki yadiastun hargane maal.,neutral,neutral,positive,neutral,negative,neutral
"Pilihan warna Brio makejang lucu, bingung ane encen ane lakar pilih",neutral,neutral,neutral,positive,neutral,neutral
"Tiang ngelah motor Vespa Sprint, ento motor ane anggon tiang uli SMA, dugas ento motor ane paling keren, bagus tur ganteng, hargane ramah.",neutral,neutral,positive,neutral,positive,neutral
"Avanza punika cocok pisan kaanggen ngambil liburan sareng kulawarga, punika nyaman pisan",neutral,neutral,positive,neutral,neutral,neutral
"Xenia 1000 cc puniki taler becik, irit lan lincah hehe",positive,positive,positive,neutral,neutral,neutral
"Suspensi Toyota Calya puniki nyaman, prasida muat akeh, inline 4 silinder antuk teknologi VVT-i prasida kaanggen taksi online",neutral,neutral,neutral,positive,neutral,neutral
"Gaya Ertiga punika becik pisan, daya tariknyane taler mantap lan tangguh, nanging sayangne ??boros pisan",negative,positive,neutral,positive,neutral,neutral
"Daihatsu Xenia puniki sane pinih cocok antuk titiang lan kulawargan titiang, perawatannyane dangan lan suku cadangnyane murahan yening saihang sareng merek kendaraan sane lianan.",neutral,neutral,positive,positive,neutral,positive
masumpah . gtr punika sujatine ganteng,neutral,neutral,positive,neutral,neutral,neutral
"Majeng ring titiang, majeng ring ekonomi kelas menengah sane lebih rendah, Toyota Calya punika wiakti becik ring harga.",neutral,neutral,neutral,neutral,positive,neutral
"Antuk kualitas sane sampun kasediaang lan harga sane murah, titiang ngamanahin Ignis puniki yukti-yukti patut katumbas.",neutral,neutral,positive,neutral,positive,neutral
nganggen Avanza sane anyar bu. Borosan bensinne haha,negative,neutral,neutral,neutral,neutral,neutral
Cooper alit nanging maal,neutral,neutral,neutral,neutral,negative,neutral
Tiang tusing taen bosan nganggon Vario lakar ka kampus.,neutral,neutral,positive,neutral,neutral,neutral
"Ajinne maal, nanging fiturne tuah keto-keto dogen.",neutral,neutral,neutral,negative,negative,neutral
"Kecepatan Yamaha Lexi ento edan, daya tarikne top-notch, nanging yeah, bensinne liu ngisep, bro.",negative,positive,neutral,neutral,neutral,neutral
"Tiang seneng sareng Xenia Li. Sampunang akeh nelasang jinah, nanging polihang pikolih sane becik.",neutral,neutral,positive,neutral,positive,neutral
"Honda HRV gas ne pelan di jalan sing rata, wah pada munyi kabeh",neutral,negative,neutral,neutral,neutral,neutral
